Target Distance: 50, Step Size: 2
1: (x,y) = (-1.7659, 0.938943)
2: (x,y) = (-1.04916, 2.8061)
3: (x,y) = (0.805208, 3.55532)
4: (x,y) = (1.74415, 1.78942)
5: (x,y) = (2.68309, 0.0235268)
6: (x,y) = (4.19251, -1.28859)
7: (x,y) = (3.37904, 0.5385)
8: (x,y) = (2.3192, 2.2346)
9: (x,y) = (0.604867, 1.20452)
10: (x,y) = (0.326521, -0.776016)
11: (x,y) = (-0.93212, -2.33031)
12: (x,y) = (0.326521, -0.776016)
13: (x,y) = (-1.35082, -1.86529)
14: (x,y) = (-1.62917, 0.115242)
15: (x,y) = (-0.0531446, 1.34656)
16: (x,y) = (-1.39141, -0.139725)
17: (x,y) = (-3.00944, 1.03585)
18: (x,y) = (-1.00974, 1.00094)
19: (x,y) = (0.930847, 0.517097)
20: (x,y) = (2.92324, 0.342785)
21: (x,y) = (3.44087, 2.27464)
22: (x,y) = (5.29524, 1.52542)
23: (x,y) = (6.68456, 2.9641)
24: (x,y) = (7.3357, 4.85514)
25: (x,y) = (5.40384, 5.37278)
26: (x,y) = (7.28323, 4.68874)
27: (x,y) = (9.28292, 4.65383)
28: (x,y) = (9.63022, 2.68422)
29: (x,y) = (8.29196, 1.19793)
30: (x,y) = (8.25705, -0.801767)
31: (x,y) = (10.2522, -0.94128)
32: (x,y) = (11.7149, -2.30528)
33: (x,y) = (13.5125, -3.18202)
34: (x,y) = (11.6715, -3.96348)
35: (x,y) = (13.6687, -3.85881)
36: (x,y) = (15.4663, -4.73555)
37: (x,y) = (17.3207, -3.98634)
38: (x,y) = (16.1451, -5.60437)
39: (x,y) = (15.7635, -3.64112)
40: (x,y) = (14.0674, -4.70096)
41: (x,y) = (12.8088, -3.14666)
42: (x,y) = (12.8088, -5.14666)
43: (x,y) = (14.6759, -4.42993)
44: (x,y) = (15.0917, -2.47363)
45: (x,y) = (16.9044, -1.6284)
46: (x,y) = (17.009, 0.368862)
47: (x,y) = (18.8762, 1.0856)
48: (x,y) = (17.7869, -0.591743)
49: (x,y) = (18.3717, 1.32087)
50: (x,y) = (17.2533, 2.97894)
51: (x,y) = (15.504, 2.00932)
52: (x,y) = (14.2454, 3.56361)
53: (x,y) = (13.8638, 1.60036)
54: (x,y) = (12.3317, 0.314785)
55: (x,y) = (13.2084, 2.11237)
56: (x,y) = (13.4522, 0.12728)
57: (x,y) = (11.8549, 1.33091)
58: (x,y) = (12.7316, -0.466678)
59: (x,y) = (10.8645, -1.18341)
60: (x,y) = (12.3739, 0.128704)
61: (x,y) = (10.5468, 0.942178)
62: (x,y) = (9.45752, -0.735163)
63: (x,y) = (8.51858, -2.50106)
64: (x,y) = (9.66573, -0.862754)
65: (x,y) = (8.32747, -2.34904)
66: (x,y) = (9.17271, -0.536429)
67: (x,y) = (10.4848, -2.04585)
68: (x,y) = (8.71893, -2.98479)
69: (x,y) = (9.16883, -4.93353)
70: (x,y) = (7.4545, -5.96361)
71: (x,y) = (8.07253, -7.86572)
72: (x,y) = (9.76863, -6.80588)
73: (x,y) = (8.53731, -8.3819)
74: (x,y) = (9.41405, -6.58432)
75: (x,y) = (9.65779, -4.59922)
76: (x,y) = (11.3721, -3.56915)
77: (x,y) = (11.4419, -1.57036)
78: (x,y) = (13.437, -1.43085)
79: (x,y) = (15.1863, -0.461233)
80: (x,y) = (17.1617, -0.148364)
81: (x,y) = (17.3012, 1.84676)
82: (x,y) = (18.2401, 3.61266)
83: (x,y) = (18.4839, 5.59775)
84: (x,y) = (17.9662, 7.5296)
85: (x,y) = (16.1842, 6.62162)
86: (x,y) = (16.0099, 8.61401)
87: (x,y) = (16.6939, 10.4934)
88: (x,y) = (16.7986, 8.49614)
89: (x,y) = (15.4093, 9.93482)
